headphones;width;height;fov;fps;stereopsis;antialiasing;textures;lightMode;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;locomotion;ambientSound;reverbZone;spatialSound;time;totalImmersion
1;1641.337;911.8539;37;60;1;1;1;0;-0.4502319;-0.6821911;-0.6520985;0.9175277;0.7553363;1;0;0;1;3;0;1;1;1196;80
1;1282.118;712.2877;39;55;1;1;1;1;-0.2345744;0.3916439;-0.3053723;0.7723895;0.4276939;1;1;1;1;1;1;1;0;1194;82
1;1795.531;997.5171;40;47;1;1;0;1;-0.5514379;-0.415188;0.08744591;0.2234764;0.4561614;1;0;0;0;1;1;1;0;1196;44
2;838.4885;465.827;44;48;0;0;1;0;-0.8326561;-0.08297837;-0.7041872;0.1656823;0.8064346;1;0;1;0;3;0;0;0;1197;77
2;1924.702;1069.279;85;35;1;1;1;1;-0.3762177;-0.5936156;0.5969183;0.2086251;0.01131606;1;0;0;0;2;1;0;1;600;66
2;2097.019;1165.011;88;22;1;0;0;0;0.9221594;0.3700441;-0.5104218;0.1319836;0.2733515;0;1;1;0;2;0;1;0;783;55
2;1530.505;850.2809;55;24;0;0;1;0;0.8307047;-0.4849947;0.2378137;0.8138883;0.5565899;0;1;1;1;3;0;0;0;587;66
2;1255.663;697.5906;67;30;0;0;1;0;0.1952628;-0.6566208;-0.1274495;0.4405244;0.7055248;1;0;1;0;1;0;1;1;805;60
2;860.4902;478.0501;79;49;0;1;0;1;-0.3142687;0.3230249;0.5995663;0.6380723;0.9203008;1;1;1;1;2;0;0;1;634;36
2;470.2238;261.2354;86;35;0;1;0;1;-0.6234372;0.2119961;0.08646095;0.1778409;0.5497267;1;0;1;1;3;1;0;1;1000;37
2;575.2302;319.5723;39;54;1;1;1;1;0.06402004;0.1045543;0.294343;0.2208728;0.3865314;0;1;1;1;3;1;0;0;1051;58
2;1195.389;664.1052;55;38;1;0;0;0;0.3756566;-0.6796851;0.1583854;0.0946486;0.1798428;0;0;1;1;2;1;0;1;690;50
2;1174.682;652.6013;76;44;0;0;1;0;0.7037091;0.2918602;0.009312153;0.5901131;0.3372533;0;0;0;0;3;1;0;1;1098;78
2;698.7938;388.2188;31;22;0;0;0;0;0.1201237;0.6615757;0.7102503;0.4631034;0.4371542;1;0;1;0;1;1;0;1;691;17
2;265.0482;147.249;40;26;1;0;0;0;0.6602774;-0.2398048;-0.7234444;0.9500426;0.1709924;0;0;1;0;2;1;0;0;538;38
2;1818.093;1010.051;31;48;0;0;0;0;-0.8049169;-0.5006166;0.3973732;0.539522;0.8981328;1;1;1;1;1;0;0;0;604;46
2;286.8294;159.3497;35;60;0;0;1;1;0.9683626;0.3282875;-0.6954017;0.3212932;0.5177154;1;1;0;1;2;0;0;0;799;26
2;460.0563;255.5868;57;17;1;0;0;0;0.9281712;0.1281152;-0.6384823;0.7854761;0.4343483;0;0;1;0;2;1;0;0;693;20
2;808.2635;449.0353;84;18;1;1;1;0;-0.2336339;-0.1984399;0.4855343;0.559429;0.04648316;1;0;1;1;1;1;0;1;759;66
2;1092.292;606.8286;39;28;1;0;0;1;-0.802892;-0.04621917;-0.2273858;0.4738166;0.8522887;1;1;1;0;3;1;0;1;806;77
2;941.0895;522.8275;62;23;0;0;1;0;0.5331886;-0.6762821;0.3706396;0.7935871;0.6018968;0;1;0;1;2;0;0;0;939;69
2;2150.587;1194.771;66;19;0;0;1;0;-0.6908059;0.4144703;-0.4104521;0.3380246;0.2652052;1;1;0;0;2;1;0;1;616;62
2;1787.954;993.3079;92;48;0;0;1;1;-0.9302487;-0.7779829;0.2762764;0.09117162;0.6640813;0;1;0;0;3;0;1;0;596;93
